dataset,n_items,capacity,optimum,experiment,series,runs,best,mean_best,std_best,best_to_optimum_pct,mean_to_optimum_pct,runs_reaching_optimum
knapPI_2_1000_1000_1,1000,5002.0,9052.0,selection,roulette,10,7889.0,7495.2,209.41,87.15,82.8,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,selection,rank,10,6350.0,6119.7,177.85,70.15,67.61,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,selection,tournament,10,7870.0,7205.0,338.42,86.94,79.6,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,crossover,one-point,10,7889.0,7495.2,209.41,87.15,82.8,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,crossover,two-point,10,7806.0,7393.2,216.69,86.24,81.67,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,elitism,elitism = 0,10,7146.0,6895.8,136.58,78.94,76.18,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,elitism,elitism = 1,10,7889.0,7495.2,209.41,87.15,82.8,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,mutation_rate,p_m = 5e-05,10,61953.0,54158.5,3595.02,56.0,48.96,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,mutation_rate,p_m = 0.00025,10,73413.0,68894.2,2528.69,66.36,62.28,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,mutation_rate,p_m = 0.0005,10,77334.0,71092.5,2594.39,69.91,64.26,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,mutation_rate,p_m = 0.0025,10,80618.0,74799.0,4061.87,72.88,67.61,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,mutation_rate,p_m = 0.005,10,36114.0,26120.5,4298.93,32.65,23.61,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,crossover_rate,p_c = 0.5,10,76014.0,70197.4,4056.17,68.71,63.46,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,crossover_rate,p_c = 0.7,10,73878.0,69859.1,2594.83,66.78,63.15,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,crossover_rate,p_c = 0.9,10,72540.0,69938.1,2699.96,65.57,63.22,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,crossover_rate,p_c = 1,10,75142.0,70345.9,2513.42,67.92,63.59,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,selection,roulette,10,77334.0,71092.5,2594.39,69.91,64.26,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,selection,rank,10,47628.0,40720.2,3380.91,43.05,36.81,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,selection,tournament,10,83575.0,64891.6,9805.76,75.55,58.66,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,crossover,one-point,10,77334.0,71092.5,2594.39,69.91,64.26,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,crossover,two-point,10,77222.0,72383.1,2720.42,69.81,65.43,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,elitism,elitism = 0,10,61012.0,57336.7,1915.7,55.15,51.83,0
knapPI_1_2000_1000_1,2000,10011.0,110625.0,elitism,elitism = 1,10,77334.0,71092.5,2594.39,69.91,64.26,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,mutation_rate,p_m = 5e-05,10,12760.0,12297.8,229.43,70.69,68.13,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,mutation_rate,p_m = 0.00025,10,13472.0,12995.4,330.02,74.63,71.99,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,mutation_rate,p_m = 0.0005,10,13527.0,13214.0,243.94,74.94,73.2,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,mutation_rate,p_m = 0.0025,10,13696.0,13201.0,347.09,75.87,73.13,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,mutation_rate,p_m = 0.005,10,10793.0,10590.8,197.9,59.79,58.67,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,crossover_rate,p_c = 0.5,10,13987.0,13271.3,391.81,77.49,73.52,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,crossover_rate,p_c = 0.7,10,13795.0,13147.2,502.33,76.42,72.83,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,crossover_rate,p_c = 0.9,10,13535.0,13035.1,274.45,74.98,72.21,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,crossover_rate,p_c = 1,10,13601.0,13028.6,366.38,75.35,72.18,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,selection,roulette,10,13527.0,13214.0,243.94,74.94,73.2,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,selection,rank,10,12233.0,11846.6,191.03,67.77,65.63,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,selection,tournament,10,14845.0,13905.9,643.21,82.24,77.04,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,crossover,one-point,10,13527.0,13214.0,243.94,74.94,73.2,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,crossover,two-point,10,13842.0,13243.3,254.25,76.68,73.37,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,elitism,elitism = 0,10,12490.0,12057.2,246.82,69.19,66.8,0
knapPI_2_2000_1000_1,2000,10011.0,18051.0,elitism,elitism = 1,10,13527.0,13214.0,243.94,74.94,73.2,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,mutation_rate,p_m = 2e-05,10,82930.0,76010.6,4111.94,30.0,27.49,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,mutation_rate,p_m = 0.0001,10,111125.0,105838.7,4449.74,40.2,38.28,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,mutation_rate,p_m = 0.0002,10,126535.0,117268.9,4172.63,45.77,42.42,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,mutation_rate,p_m = 0.001,10,156460.0,137900.0,7680.57,56.59,49.88,0
